"_id","nom","prenom","birthdate","ects","diplome","type_contrat","duree_contrat","etude","campus","activite","entreprise","universite"
"ObjectId(""61db553ec81e1457f090d795"")","Morna","Cheves","13/06/1993",15,"FAUX","Contrat d'apprentissage",17,"stop","PARIS","SPR","AMAZON","101"
"ObjectId(""61db553ec81e1457f090d796"")","Cindy","Macvey","15/06/1997",106,"FAUX","Contrat Pro",21,"en cours","LYON","BDE","ALL4TEST","MINES"
"ObjectId(""61db553ec81e1457f090d797"")","Carroll","Arents","09/06/1996",253,"FAUX","Contrat d'apprentissage",15,"en cours","MONTPELIER","BDE","MRC","POLYTECH"
"ObjectId(""61db553ec81e1457f090d798"")","Shannon","Dymock","27/10/1996",126,"FAUX","Contrat Pro",14,"termine","PARIS","SPR","CAMTEL","POLYTECH"
"ObjectId(""61db553ec81e1457f090d799"")","Osborn","Mash","01/09/1995",237,"FAUX","Contrat d'apprentissage",9,"stop","LYON","BDE","ASI","INSA"
"ObjectId(""61db553ec81e1457f090d79a"")","Lorelle","Hay","21/05/2001",137,"FAUX","Contrat d'apprentissage",17,"stop","PARIS","BDE","ORACLE","ISIMA"
"ObjectId(""61db553ec81e1457f090d79b"")","Evaleen","Thornhill","07/05/1998",219,"FAUX","Stage",15,"stop","LILLE","BDS","AKKA","101"
"ObjectId(""61db553ec81e1457f090d79c"")","Joy","Gladbach","07/06/1998",257,"FAUX","Contrat Pro",16,"en cours","LYON","BDS","MICHELIN","INSA"
"ObjectId(""61db553ec81e1457f090d79d"")","Clyve","Perutto","26/11/1998",128,"FAUX","Stage",19,"termine","MONTPELIER","BDS","AXXA","POLYTECH"
"ObjectId(""61db553ec81e1457f090d79e"")","Waite","Maureen","21/04/1995",291,"FAUX","Stage",4,"stop","LILLE","BDE","IBM","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d79f"")","Kyle","Eicheler","25/09/2001",111,"FAUX","Contrat Pro",14,"en cours","PARIS","BDE","SHINKA","SUPINFO"
"ObjectId(""61db553ec81e1457f090d7a0"")","Dorise","Bollam","05/02/1999",132,"FAUX","Stage",3,"en cours","LYON","SPR","MICHELIN","ESI"
"ObjectId(""61db553ec81e1457f090d7a1"")","Barbara","Bussey","30/04/1996",287,"FAUX","Contrat Pro",11,"termine","PARIS","SPR","MRC","ISIMA"
"ObjectId(""61db553ec81e1457f090d7a2"")","Jacob","McGeoch","29/03/1996",78,"FAUX","Contrat Pro",10,"en cours","LYON","SPR","IUC","ISIMA"
"ObjectId(""61db553ec81e1457f090d7a3"")","Stevana","O'Mullaney","08/05/1995",149,"FAUX","Stage",2,"termine","MONTPELIER","BDE","SAFRAM","MINES"
"ObjectId(""61db553ec81e1457f090d7a4"")","Grete","Cheke","30/09/2001",36,"FAUX","Contrat Pro",1,"termine","MONTPELIER","SPR","SAFRAM","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d7a5"")","Zia","Pragnell","31/08/2002",130,"FAUX","Contrat Pro",14,"stop","CAEN","BDE","AXXA","MINES"
"ObjectId(""61db553ec81e1457f090d7a6"")","Nikaniki","Endacott","24/02/2001",76,"FAUX","Contrat d'apprentissage",20,"termine","LYON","BDE","MICHELIN","42"
"ObjectId(""61db553ec81e1457f090d7a7"")","Alysia","Stranks","02/06/1999",119,"FAUX","Contrat d'apprentissage",4,"termine","PARIS","SPR","SAFRAM","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d7a8"")","Boris","Bisley","07/12/1996",109,"FAUX","Stage",24,"termine","CLERMONT","BDE","ALTRAM","101"
"ObjectId(""61db553ec81e1457f090d7a9"")","Ivan","Rowet","15/08/1995",144,"FAUX","Stage",24,"termine","CAEN","BDS","CONNEXTIC","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d7aa"")","Gleda","Bougen","19/11/1995",208,"FAUX","Stage",19,"stop","LILLE","BDE","ORACLE","POLYTECH"
"ObjectId(""61db553ec81e1457f090d7ab"")","Clo","Kellog","29/04/1994",201,"FAUX","Contrat d'apprentissage",21,"stop","MONTPELIER","BDE","MTN","42"
"ObjectId(""61db553ec81e1457f090d7ac"")","Dita","Viveash","20/12/1999",158,"FAUX","Stage",9,"termine","CAEN","SPR","GFI","EPITECH"
"ObjectId(""61db553ec81e1457f090d7ad"")","Griswold","Grimston","22/05/1998",74,"FAUX","Contrat d'apprentissage",22,"stop","PARIS","BDE","MTN","INSA"
"ObjectId(""61db553ec81e1457f090d7ae"")","Mariette","Walklate","11/07/1996",130,"FAUX","Stage",2,"termine","MONTPELIER","SPR","ALL4TEST","101"
"ObjectId(""61db553ec81e1457f090d7af"")","Sutton","Blowin","04/03/2002",163,"FAUX","Contrat Pro",1,"stop","MONTPELIER","SPR","SAFRAM","42"
"ObjectId(""61db553ec81e1457f090d7b0"")","Barby","Godrich","22/04/1995",165,"FAUX","Stage",18,"stop","LILLE","SPR","CAMTEL","ESI"
"ObjectId(""61db553ec81e1457f090d7b1"")","Ransell","Drewell","03/10/2002",181,"FAUX","Contrat d'apprentissage",17,"stop","MONTPELIER","SPR","ORACLE","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d7b2"")","Bobbye","Ducham","20/05/1997",26,"FAUX","Contrat d'apprentissage",6,"stop","MONTPELIER","BDE","SOGETI","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d7b3"")","Gabriell","Cadwallader","20/11/1995",126,"FAUX","Stage",11,"en cours","MONTPELIER","BDE","ACCENTURE","ISIMA"
"ObjectId(""61db553ec81e1457f090d7b4"")","Moyna","Mucklow","15/08/1995",251,"FAUX","Stage",12,"en cours","LILLE","SPR","AFRIK-SOLUTION","SUPINFO"
"ObjectId(""61db553ec81e1457f090d7b5"")","Wandis","Gravells","22/07/1998",292,"FAUX","Contrat d'apprentissage",18,"en cours","LYON","BDE","AXXA","101"
"ObjectId(""61db553ec81e1457f090d7b6"")","Elia","Kelwaybamber","20/01/1994",84,"FAUX","Contrat Pro",15,"termine","CLERMONT","BDE","ASTEK","SUPINFO"
"ObjectId(""61db553ec81e1457f090d7b7"")","Harris","Pybworth","15/07/2001",221,"FAUX","Contrat d'apprentissage",16,"termine","MONTPELIER","BDS","IUC","INSA"
"ObjectId(""61db553ec81e1457f090d7b8"")","Von","Hayter","27/10/1993",76,"FAUX","Contrat Pro",16,"termine","CLERMONT","SPR","AKKA","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d7b9"")","Corrina","Hubbold","10/04/1995",96,"FAUX","Contrat d'apprentissage",19,"en cours","LYON","SPR","ALTRAM","INSA"
"ObjectId(""61db553ec81e1457f090d7ba"")","Jerri","Riddle","05/07/1999",63,"FAUX","Contrat d'apprentissage",18,"stop","CLERMONT","BDE","ALTRAM","EPITECH"
"ObjectId(""61db553ec81e1457f090d7bb"")","Jaquenette","Janzen","03/07/1996",138,"FAUX","Contrat Pro",4,"stop","LYON","BDE","SOGETI","ESI"
"ObjectId(""61db553ec81e1457f090d7bc"")","Faythe","Glandon","13/12/1999",239,"FAUX","Contrat Pro",5,"stop","LILLE","BDE","ASI","ESI"
"ObjectId(""61db553ec81e1457f090d7bd"")","Gill","Gorsse","26/02/1993",107,"FAUX","Contrat Pro",8,"stop","LYON","SPR","ALL4TEST","POLYTECH"
"ObjectId(""61db553ec81e1457f090d7be"")","Iorgo","Limerick","07/12/2001",134,"FAUX","Contrat d'apprentissage",2,"termine","LYON","BDS","IUC","INSA"
"ObjectId(""61db553ec81e1457f090d7bf"")","Hubert","Meier","20/02/2002",28,"FAUX","Contrat d'apprentissage",12,"termine","CAEN","BDE","SOGETI","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d7c0"")","Brittany","Claringbold","10/02/1999",229,"FAUX","Contrat d'apprentissage",12,"en cours","LILLE","BDS","AFROLOGIX","SUPINFO"
"ObjectId(""61db553ec81e1457f090d7c1"")","Aloisia","Jaye","26/06/2000",285,"FAUX","Contrat d'apprentissage",11,"en cours","CLERMONT","SPR","AFRIK-SOLUTION","42"
"ObjectId(""61db553ec81e1457f090d7c2"")","Mignonne","Sacaze","06/09/2000",256,"FAUX","Contrat Pro",23,"stop","PARIS","BDE","AFROLOGIX","MINES"
"ObjectId(""61db553ec81e1457f090d7c3"")","Sanderson","Hodges","06/06/1997",294,"FAUX","Contrat d'apprentissage",4,"termine","LYON","BDS","AXXA","EPITECH"
"ObjectId(""61db553ec81e1457f090d7c4"")","Chelsea","Schankel","12/03/2001",275,"FAUX","Contrat d'apprentissage",4,"en cours","LILLE","SPR","CDISCOUNT","INSA"
"ObjectId(""61db553ec81e1457f090d7c5"")","Patrice","Ferran","14/05/2002",283,"FAUX","Contrat d'apprentissage",12,"en cours","PARIS","BDS","ALTRAM","ISIMA"
"ObjectId(""61db553ec81e1457f090d7c6"")","Mellie","Crommett","01/06/1996",257,"FAUX","Stage",23,"termine","LYON","SPR","SAFRAM","SUPINFO"
"ObjectId(""61db553ec81e1457f090d7c7"")","Tades","Croft","04/03/1995",158,"FAUX","Contrat Pro",20,"stop","MONTPELIER","SPR","MTN","ISIMA"
"ObjectId(""61db553ec81e1457f090d7c8"")","Rois","Marr","21/09/2000",243,"FAUX","Contrat d'apprentissage",5,"termine","PARIS","BDS","CAPGEMINI","INSA"
"ObjectId(""61db553ec81e1457f090d7c9"")","Walt","Windmill","03/10/1998",246,"FAUX","Stage",19,"en cours","CLERMONT","BDE","AMAZON","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d7ca"")","Kip","Dana","13/09/1998",132,"FAUX","Contrat Pro",8,"en cours","LYON","BDE","ADVENCE CAMEROUN","POLYTECH"
"ObjectId(""61db553ec81e1457f090d7cb"")","Josefa","Eyckelbeck","24/04/1993",73,"FAUX","Contrat d'apprentissage",5,"en cours","CAEN","BDS","SOFTTEAMS","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d7cc"")","Joshuah","Stuckow","09/04/1998",231,"FAUX","Contrat d'apprentissage",20,"stop","CAEN","BDE","CGI","POLYTECH"
"ObjectId(""61db553ec81e1457f090d7cd"")","Sophronia","Fedorchenko","29/05/1996",153,"FAUX","Contrat Pro",21,"stop","LILLE","BDE","DIGIT CONCEPT","ESI"
"ObjectId(""61db553ec81e1457f090d7ce"")","Thor","Pavlasek","13/05/2001",141,"FAUX","Stage",18,"en cours","MONTPELIER","BDE","ABYSTER","101"
"ObjectId(""61db553ec81e1457f090d7cf"")","Christel","Taunton.","16/12/1996",265,"FAUX","Stage",20,"en cours","MONTPELIER","BDE","SAFRAM","SUPINFO"
"ObjectId(""61db553ec81e1457f090d7d0"")","Torie","Freyn","13/10/2000",208,"FAUX","Contrat d'apprentissage",16,"en cours","LYON","SPR","SOFTTEAMS","MINES"
"ObjectId(""61db553ec81e1457f090d7d1"")","Nert","Sorey","15/06/1997",208,"FAUX","Contrat Pro",14,"en cours","LYON","SPR","ADVENCE CAMEROUN","101"
"ObjectId(""61db553ec81e1457f090d7d2"")","Cyril","Burbridge","14/01/1994",148,"FAUX","Contrat d'apprentissage",18,"en cours","PARIS","BDS","CDISCOUNT","SUPINFO"
"ObjectId(""61db553ec81e1457f090d7d3"")","Ervin","Orthmann","06/09/1996",120,"FAUX","Stage",3,"stop","MONTPELIER","BDS","THALES","42"
"ObjectId(""61db553ec81e1457f090d7d4"")","Melli","Youngman","07/03/2002",243,"FAUX","Stage",19,"en cours","LILLE","BDS","ALL4TEST","SUPINFO"
"ObjectId(""61db553ec81e1457f090d7d5"")","Stevana","Bickell","12/03/1998",34,"FAUX","Contrat d'apprentissage",20,"en cours","CLERMONT","SPR","GFI","EPITECH"
"ObjectId(""61db553ec81e1457f090d7d6"")","Kennan","Norheny","06/09/1995",76,"FAUX","Stage",22,"stop","CAEN","BDS","FREE","ESI"
"ObjectId(""61db553ec81e1457f090d7d7"")","Keane","Koeppe","03/05/1994",256,"FAUX","Contrat Pro",23,"en cours","MONTPELIER","BDS","CAMTEL","MINES"
"ObjectId(""61db553ec81e1457f090d7d8"")","Gayla","Formie","11/05/1999",272,"FAUX","Stage",15,"termine","CAEN","SPR","ASTEK","INSA"
"ObjectId(""61db553ec81e1457f090d7d9"")","Rosa","Ainsworth","25/08/1995",19,"FAUX","Stage",12,"termine","CAEN","SPR","AFRIK-SOLUTION","42"
"ObjectId(""61db553ec81e1457f090d7da"")","Royce","Blackler","15/02/2001",175,"FAUX","Contrat Pro",13,"en cours","CLERMONT","SPR","THALES","MINES"
"ObjectId(""61db553ec81e1457f090d7db"")","Erwin","Hebdon","26/09/1994",81,"FAUX","Contrat d'apprentissage",2,"stop","CLERMONT","BDE","HUAWEI","POLYTECH"
"ObjectId(""61db553ec81e1457f090d7dc"")","Berrie","Zanuciolii","27/03/1996",114,"FAUX","Contrat d'apprentissage",15,"stop","MONTPELIER","BDS","ABYSTER","EPITECH"
"ObjectId(""61db553ec81e1457f090d7dd"")","Bernelle","Kryska","21/02/1999",184,"FAUX","Contrat Pro",11,"en cours","PARIS","BDS","SHINKA","EPITECH"
"ObjectId(""61db553ec81e1457f090d7de"")","Darbie","Mc Andrew","29/01/2000",244,"FAUX","Stage",6,"en cours","LYON","SPR","ASTEK","101"
"ObjectId(""61db553ec81e1457f090d7df"")","Olenolin","Mockett","31/07/2002",271,"FAUX","Contrat d'apprentissage",24,"en cours","LILLE","BDS","MRC","ESI"
"ObjectId(""61db553ec81e1457f090d7e0"")","Porter","Himsworth","02/01/2000",108,"FAUX","Contrat Pro",22,"termine","LILLE","BDE","ALL4TEST","ISIMA"
"ObjectId(""61db553ec81e1457f090d7e1"")","Clarabelle","Treverton","02/03/1997",185,"FAUX","Contrat Pro",15,"en cours","CLERMONT","BDE","ALL4TEST","INSA"
"ObjectId(""61db553ec81e1457f090d7e2"")","Seumas","Wackley","16/03/1993",98,"FAUX","Contrat d'apprentissage",4,"en cours","PARIS","BDE","IBM","101"
"ObjectId(""61db553ec81e1457f090d7e3"")","Brod","Belf","16/08/1993",287,"FAUX","Contrat d'apprentissage",9,"stop","CAEN","BDE","SHINKA","INSA"
"ObjectId(""61db553ec81e1457f090d7e4"")","Xaviera","Witch","01/02/2000",46,"FAUX","Stage",11,"stop","MONTPELIER","SPR","AXXA","INSA"
"ObjectId(""61db553ec81e1457f090d7e5"")","Howard","Grzegorzewski","13/10/1996",205,"FAUX","Stage",21,"stop","LYON","BDS","CDISCOUNT","SUPINFO"
"ObjectId(""61db553ec81e1457f090d7e6"")","Sheelagh","Gurrado","25/12/1998",151,"FAUX","Contrat Pro",5,"stop","CLERMONT","SPR","IUC","ISIMA"
"ObjectId(""61db553ec81e1457f090d7e7"")","Saunderson","Bolley","24/08/1993",258,"FAUX","Contrat d'apprentissage",7,"stop","LYON","SPR","MICHELIN","101"
"ObjectId(""61db553ec81e1457f090d7e8"")","Kristal","Goshawk","24/12/1997",274,"FAUX","Contrat Pro",24,"termine","CLERMONT","BDS","THALES","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d7e9"")","Bunni","Goldsbury","12/04/1997",172,"FAUX","Contrat d'apprentissage",24,"en cours","MONTPELIER","BDE","ENELCAM","42"
"ObjectId(""61db553ec81e1457f090d7ea"")","Shayne","Barnewille","04/06/1996",299,"FAUX","Stage",24,"en cours","PARIS","SPR","DIGIT CONCEPT","POLYTECH"
"ObjectId(""61db553ec81e1457f090d7eb"")","xxxxxx","Greensitt","04/01/2000",273,"FAUX","Contrat d'apprentissage",14,"termine","CLERMONT","BDS","CDISCOUNT","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d7ec"")","Henrieta","Aleksic","27/09/1996",15,"FAUX","Stage",3,"stop","PARIS","BDS","ASI","SUPINFO"
"ObjectId(""61db553ec81e1457f090d7ed"")","Rayner","Ryles","11/05/2001",132,"FAUX","Stage",10,"en cours","LILLE","BDS","CDISCOUNT","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d7ee"")","Thorndike","Drinkall","08/09/1994",72,"FAUX","Contrat Pro",24,"stop","CLERMONT","BDE","IBM","101"
"ObjectId(""61db553ec81e1457f090d7ef"")","Gaelan","Foyle","24/08/1994",73,"FAUX","Stage",19,"en cours","CAEN","BDE","ENELCAM","42"
"ObjectId(""61db553ec81e1457f090d7f0"")","Adriane","England","20/09/2001",124,"FAUX","Contrat d'apprentissage",16,"en cours","MONTPELIER","BDE","ENELCAM","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d7f1"")","Flynn","Trahair","17/11/1999",89,"FAUX","Stage",20,"termine","CAEN","BDE","AXXA","EPITECH"
"ObjectId(""61db553ec81e1457f090d7f2"")","Darla","Kempe","08/04/1996",216,"FAUX","Contrat Pro",17,"stop","CLERMONT","SPR","SAFRAM","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d7f3"")","Ed","Bater","05/09/1998",170,"FAUX","Contrat d'apprentissage",6,"stop","LYON","SPR","THALES","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d7f4"")","Marv","McAlister","24/09/2000",32,"FAUX","Contrat Pro",7,"stop","CAEN","SPR","RUEDUCOMMERCE","ESI"
"ObjectId(""61db553ec81e1457f090d7f5"")","Rik","Platts","01/12/1997",84,"FAUX","Contrat Pro",21,"stop","LILLE","SPR","AMAZON","INSA"
"ObjectId(""61db553ec81e1457f090d7f6"")","Franz","Opy","14/07/1995",122,"FAUX","Stage",3,"stop","CAEN","BDS","CDISCOUNT","POLYTECH"
"ObjectId(""61db553ec81e1457f090d7f7"")","Ashbey","Rustidge","04/06/1997",109,"FAUX","Contrat d'apprentissage",8,"termine","CLERMONT","BDE","AFROLOGIX","INSA"
"ObjectId(""61db553ec81e1457f090d7f8"")","Mady","Garrard","17/10/1999",141,"FAUX","Contrat Pro",21,"termine","MONTPELIER","BDE","SOFTTEAMS","MINES"
"ObjectId(""61db553ec81e1457f090d7f9"")","Julieta","Donnelly","28/06/1999",74,"FAUX","Stage",24,"en cours","CAEN","BDS","ADVENCE CAMEROUN","ISIMA"
"ObjectId(""61db553ec81e1457f090d7fa"")","Clyve","Kuhwald","13/02/2001",172,"FAUX","Contrat Pro",9,"termine","CAEN","BDS","RUEDUCOMMERCE","42"
"ObjectId(""61db553ec81e1457f090d7fb"")","Salomone","Littlejohns","10/05/1999",252,"FAUX","Stage",20,"en cours","MONTPELIER","SPR","IUC","101"
"ObjectId(""61db553ec81e1457f090d7fc"")","Mortimer","Dmitr","04/05/1993",124,"FAUX","Stage",4,"stop","LILLE","SPR","CONNEXTIC","ESI"
"ObjectId(""61db553ec81e1457f090d7fd"")","Sallyanne","Kilgour","25/11/1999",13,"FAUX","Contrat d'apprentissage",16,"en cours","LYON","BDS","AKKA","101"
"ObjectId(""61db553ec81e1457f090d7fe"")","Di","Bemrose","09/04/1994",52,"FAUX","Stage",14,"stop","LYON","BDS","ALL4TEST","42"
"ObjectId(""61db553ec81e1457f090d7ff"")","Reider","Speirs","16/06/1997",89,"FAUX","Contrat Pro",2,"en cours","CLERMONT","BDE","CAMTEL","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d800"")","Britt","Ostridge","24/08/1996",262,"FAUX","Stage",16,"en cours","LYON","BDS","AXXA","EPITECH"
"ObjectId(""61db553ec81e1457f090d801"")","Welsh","Gluyas","15/11/1995",139,"FAUX","Stage",18,"termine","CAEN","BDS","ABYSTER","SUPINFO"
"ObjectId(""61db553ec81e1457f090d802"")","Desmond","Krollmann","05/01/2001",138,"FAUX","Contrat Pro",13,"stop","MONTPELIER","BDS","AMAZON","42"
"ObjectId(""61db553ec81e1457f090d803"")","Illa","Petett","30/11/1993",280,"FAUX","Stage",2,"termine","PARIS","BDS","AFROLOGIX","INSA"
"ObjectId(""61db553ec81e1457f090d804"")","Orion","Rubenczyk","27/07/1997",158,"FAUX","Contrat d'apprentissage",15,"termine","MONTPELIER","SPR","FREE","ISIMA"
"ObjectId(""61db553ec81e1457f090d805"")","Ava","Wastall","14/10/1993",178,"FAUX","Stage",17,"termine","CLERMONT","BDS","OPEN","EPYTECH"
"ObjectId(""61db553ec81e1457f090d806"")","Olivier","Bendle","08/04/1994",211,"FAUX","Contrat Pro",8,"termine","LILLE","SPR","ADVENCE CAMEROUN","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d807"")","Mireille","Brimble","24/04/1993",7,"FAUX","Contrat Pro",10,"termine","MONTPELIER","BDS","ASTEK","EPITECH"
"ObjectId(""61db553ec81e1457f090d808"")","Myra","Cusick","31/10/1999",191,"FAUX","Contrat d'apprentissage",23,"stop","LYON","SPR","SHINKA","INSA"
"ObjectId(""61db553ec81e1457f090d809"")","Wit","Pizzie","23/10/2000",65,"FAUX","Contrat Pro",19,"stop","PARIS","BDE","OPEN","INSA"
"ObjectId(""61db553ec81e1457f090d80a"")","Clyde","Cockayne","15/07/1998",219,"FAUX","Contrat d'apprentissage",9,"en cours","CLERMONT","BDE","SOGETI","EPITECH"
"ObjectId(""61db553ec81e1457f090d80b"")","Paulita","Thurborn","29/01/1998",41,"FAUX","Stage",5,"en cours","CLERMONT","BDS","AKKA","EPITECH"
"ObjectId(""61db553ec81e1457f090d80c"")","Jase","Bouldon","09/04/1994",127,"FAUX","Contrat d'apprentissage",13,"termine","CLERMONT","BDE","HUAWEI","ISIMA"
"ObjectId(""61db553ec81e1457f090d80d"")","Amity","Bohlmann","12/10/2002",55,"FAUX","Contrat Pro",23,"stop","CLERMONT","BDS","CISCO","MINES"
"ObjectId(""61db553ec81e1457f090d80e"")","Riki","Bielfeldt","22/09/2001",152,"FAUX","Contrat Pro",24,"stop","CLERMONT","BDS","ATOS","INSA"
"ObjectId(""61db553ec81e1457f090d80f"")","Minne","Ind","19/10/1998",187,"FAUX","Contrat d'apprentissage",24,"en cours","CAEN","SPR","AKKA","SUPINFO"
"ObjectId(""61db553ec81e1457f090d810"")","Frederica","Eilert","23/03/1996",181,"FAUX","Contrat d'apprentissage",13,"stop","MONTPELIER","BDS","ALTRAM","SUPINFO"
"ObjectId(""61db553ec81e1457f090d811"")","Angie","Ewbank","14/01/1999",220,"FAUX","Contrat Pro",6,"termine","CLERMONT","BDS","ENELCAM","MINES"
"ObjectId(""61db553ec81e1457f090d812"")","Arther","Sigg","07/06/2002",179,"FAUX","Contrat Pro",11,"en cours","LILLE","SPR","THALES","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d813"")","Kaylee","Sketcher","02/03/1997",240,"FAUX","Contrat Pro",3,"termine","LYON","SPR","IBM","INSA"
"ObjectId(""61db553ec81e1457f090d814"")","Rabi","Sparwell","02/06/2000",195,"FAUX","Contrat d'apprentissage",10,"en cours","PARIS","SPR","ACCENTURE","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d815"")","Basil","Schimann","12/06/1996",197,"FAUX","Contrat Pro",11,"en cours","LILLE","SPR","ASI","MINES"
"ObjectId(""61db553ec81e1457f090d816"")","Sanderson","Rippingall","11/08/1999",77,"FAUX","Contrat Pro",19,"en cours","MONTPELIER","BDE","AFRIK-SOLUTION","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d817"")","Noak","Dombrell","03/10/2000",78,"FAUX","Stage",5,"stop","CLERMONT","SPR","AFROLOGIX","101"
"ObjectId(""61db553ec81e1457f090d818"")","Tricia","Becerro","07/04/1994",232,"FAUX","Contrat Pro",14,"termine","CAEN","SPR","CGI","42"
"ObjectId(""61db553ec81e1457f090d819"")","Karleen","McLanaghan","28/08/2000",207,"FAUX","Contrat d'apprentissage",17,"en cours","LYON","BDE","ADVENCE CAMEROUN","EPITECH"
"ObjectId(""61db553ec81e1457f090d81a"")","Evangelia","McKew$","14/04/1998",96,"FAUX","Contrat d'apprentissage",2,"stop","CAEN","BDE","IUC","POLYTECH"
"ObjectId(""61db553ec81e1457f090d81b"")","Stinky","Gyrgorcewicx","04/05/2001",234,"FAUX","Stage",18,"termine","LILLE","BDE","ABYSTER","POLYTECH"
"ObjectId(""61db553ec81e1457f090d81c"")","Olva","Reid","02/02/2000",125,"FAUX","Stage",18,"termine","MONTPELIER","BDE","SOGETI","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d81d"")","Valaria","Woof","03/12/1995",258,"FAUX","Contrat d'apprentissage",9,"termine","MONTPELIER","SPR","ORACLE","MINES"
"ObjectId(""61db553ec81e1457f090d81e"")","Susy","Landells","04/09/1995",208,"FAUX","Contrat d'apprentissage",10,"en cours","LILLE","BDS","THALES","SUPINFO"
"ObjectId(""61db553ec81e1457f090d81f"")","Woodie","Malmar","14/12/1998",68,"FAUX","Stage",16,"stop","LILLE","BDE","SHINKA","INSA"
"ObjectId(""61db553ec81e1457f090d820"")","Coraline","Tolossi","26/05/1997",34,"FAUX","Contrat d'apprentissage",6,"termine","LILLE","BDS","ABYSTER","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d821"")","Loydie","Blasgen","03/03/2001",50,"FAUX","Stage",21,"termine","CLERMONT","BDS","AMAZON","42"
"ObjectId(""61db553ec81e1457f090d822"")","Pat","Maffioni","16/07/2001",192,"FAUX","Stage",23,"stop","LYON","BDE","MICHELIN","INSA"
"ObjectId(""61db553ec81e1457f090d823"")","Chadwick","Blundan","23/12/1995",99,"FAUX","Stage",18,"en cours","LILLE","SPR","GFI","POLYTECH"
"ObjectId(""61db553ec81e1457f090d824"")","Emilee","O'Kuddyhy","15/04/1994",29,"FAUX","Stage",21,"stop","LYON","SPR","AFRIK-SOLUTION","ESI"
"ObjectId(""61db553ec81e1457f090d825"")","Stacee","Tibb","26/05/1993",216,"FAUX","Contrat Pro",16,"stop","CLERMONT","BDS","IBM","ESI"
"ObjectId(""61db553ec81e1457f090d826"")","Nikolai","Dey","19/09/1998",70,"FAUX","Stage",5,"termine","MONTPELIER","SPR","FREE","POLYTECH"
"ObjectId(""61db553ec81e1457f090d827"")","Christalle","Gooderidge","07/05/2002",59,"FAUX","Stage",4,"stop","CLERMONT","SPR","ENELCAM","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d828"")","Dyann","Bourcq","12/07/1994",197,"FAUX","Stage",17,"stop","CLERMONT","BDE","RUEDUCOMMERCE","ESI"
"ObjectId(""61db553ec81e1457f090d829"")","Fiona","Sheahan","12/10/1996",68,"FAUX","Contrat Pro",22,"stop","CAEN","BDE","GFI","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d82a"")","Wandie","Elflain","31/01/1994",51,"FAUX","Contrat d'apprentissage",20,"stop","LILLE","SPR","CDISCOUNT","POLYTECH"
"ObjectId(""61db553ec81e1457f090d82b"")","Eduard","Hayesman","01/05/1996",154,"FAUX","Stage",18,"stop","CLERMONT","BDE","CAPGEMINI","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d82c"")","Luci","Mellows","03/04/1996",45,"FAUX","Contrat d'apprentissage",8,"en cours","LILLE","BDE","SHINKA","42"
"ObjectId(""61db553ec81e1457f090d82d"")","Aarika","Yokelman","08/11/1996",251,"FAUX","Stage",6,"stop","MONTPELIER","BDE","GFI","ECOLE DE LA VIE"
"ObjectId(""61db553ec81e1457f090d82e"")","Jany","Fellgatt","25/02/1997",75,"FAUX","Contrat Pro",20,"en cours","LILLE","BDS","THALES","ESI"
"ObjectId(""61db553ec81e1457f090d82f"")","Toni","Izkovicz","31/12/2001",297,"FAUX","Contrat d'apprentissage",13,"stop","MONTPELIER","BDE","AXXA","UNIVERSITY 365"
"ObjectId(""61db553ec81e1457f090d830"")","Dene","Franz","26/10/1994",197,"FAUX","Contrat d'apprentissage",4,"stop","LYON","BDS","MICHELIN","POLYTECH"
"ObjectId(""61db553ec81e1457f090d831"")","Chelsie","Climar","04/09/1996",59,"FAUX","Contrat Pro",18,"stop","CLERMONT","BDE","GFI","EPITECH"
